Date,BAC,CVX,FDX,GS,HD,JPM,KO,LOW,MA,MS,PEP,TGT,UPS,V,WMT,XOM
2017-01-10,18.512277603149414,76.82015228271484,130.17225646972656,198.83120727539062,108.00133514404297,67.31124114990234,30.536483764648438,59.683021545410156,101.58869934082031,32.8752326965332,76.1651611328125,53.76576232910156,78.95057678222656,76.06961822509766,19.429168701171875,56.64506912231445
2017-01-11,18.617185592651367,77.46833801269531,130.73883056640625,201.44595336914062,107.68391418457031,67.8174819946289,30.543922424316406,59.724910736083984,102.0525131225586,33.34095001220703,76.04564666748047,53.90125274658203,79.13077545166016,76.52804565429688,19.514598846435547,57.225162506103516
2017-01-12,18.49613380432129,77.62203979492188,129.45375061035156,199.87220764160156,107.18399810791016,67.16326141357422,30.46950912475586,59.99312210083008,102.90444946289062,33.3104133605957,76.06803131103516,53.63028335571289,78.94365692138672,76.12577056884766,19.35513687133789,56.91533660888672
2017-01-13,18.568761825561523,77.7690658569336,129.19818115234375,200.24920654296875,107.16016387939453,67.5215072631836,30.417438507080078,60.470848083496094,102.8949966430664,33.44784164428711,75.85145568847656,52.83241653442383,79.17235565185547,75.93864440917969,19.115936279296875,56.92192840576172
2017-01-17,17.79404640197754,77.70220947265625,128.53497314453125,193.23265075683594,107.86640930175781,65.06831359863281,30.67041015625,60.663612365722656,102.61100006103516,32.18046569824219,76.32948303222656,53.39694595336914,79.0545425415039,76.02284240722656,19.48326873779297,57.58773422241211
2017-01-18,18.26210594177246,77.47504425048828,129.35018920898438,192.044189453125,108.0489501953125,65.37206268310547,30.722503662109375,59.82548904418945,102.85714721679688,32.722530364990234,76.74028015136719,50.31837463378906,79.67132568359375,76.33153533935547,19.395002365112305,56.87580108642578
2017-01-19,18.181411743164062,77.2344741821289,128.6178436279297,189.68348693847656,107.43791961669922,64.87361907958984,30.610891342163086,60.0098876953125,102.73407745361328,32.40951156616211,76.45646667480469,49.21942138671875,79.19315338134766,76.46255493164062,19.255470275878906,55.8540153503418
2017-01-20,18.270177841186523,77.24784851074219,128.31387329101562,190.33106994628906,107.60456848144531,65.1617660522461,30.74481201171875,60.14398193359375,104.08767700195312,32.51640319824219,77.11376190185547,48.24843215942383,79.67132568359375,76.56549072265625,19.130176544189453,56.61869812011719
2017-01-23,18.205617904663086,77.10753631591797,128.12734985351562,190.71629333496094,109.56460571289062,65.19290924072266,30.826675415039062,61.12939453125,103.77530670166016,32.03541564941406,77.68891143798828,48.060264587402344,79.3248291015625,76.8554916381836,18.979251861572266,56.01224136352539
2017-01-24,18.520347595214844,77.76237487792969,132.37620544433594,191.54417419433594,109.5566635131836,65.97947692871094,31.17638397216797,62.32536697387695,104.0498275756836,32.62328338623047,78.2117691040039,48.48179244995117,80.42674255371094,77.86588287353516,19.192825317382812,56.091346740722656
2017-01-25,18.859283447265625,78.34374237060547,133.30191040039062,194.4704132080078,109.09642028808594,66.99974060058594,31.340063095092773,61.533653259277344,104.30542755126953,33.486019134521484,78.1370620727539,48.92586898803711,81.07819366455078,78.49270629882812,19.047595977783203,56.25613784790039
2017-01-26,18.915767669677734,77.88265228271484,133.0463409423828,196.3803253173828,109.87408447265625,67.56045532226562,31.10941505432129,61.67685317993164,103.5386734008789,33.60818099975586,77.7860336303711,48.30113220214844,81.03662109375,77.87523651123047,19.002033233642578,56.42752456665039
2017-01-27,18.85120964050293,76.03833770751953,135.35379028320312,194.22451782226562,109.77091979980469,67.70064544677734,30.84154510498047,61.693695068359375,103.97411346435547,33.47779083251953,77.29304504394531,47.947364807128906,81.84053802490234,78.3710708618164,18.697336196899414,56.368202209472656
2017-01-30,18.520347595214844,74.7219009399414,133.5091552734375,191.72447204589844,109.88207244873047,66.99974060058594,30.789466857910156,61.963199615478516,103.46295166015625,33.07129669189453,77.44987487792969,48.26349639892578,81.10591888427734,78.3055648803711,18.913747787475586,55.93973159790039
2017-01-31,18.270177841186523,74.40785217285156,130.64906311035156,187.97036743164062,109.17578125,65.90940856933594,30.930830001831055,61.55051040649414,100.65157318115234,32.58810806274414,77.5171127319336,48.53446960449219,75.63093566894531,77.37939453125,19.004873275756836,55.30030822753906
2017-02-01,18.471925735473633,74.1739730834961,128.68695068359375,189.076904296875,109.06468200683594,66.15861511230469,30.70016860961914,60.9356689453125,99.39258575439453,32.74917221069336,76.94197082519531,47.92478561401367,73.0112533569336,77.12678527832031,18.859657287597656,54.674068450927734
2017-02-02,18.334739685058594,74.98251342773438,127.54011535644531,188.86376953125,108.67583465576172,65.87824249267578,30.80434799194336,60.59877014160156,99.52511596679688,32.31201171875,77.70384979248047,47.93230438232422,72.83800506591797,76.99581909179688,18.993488311767578,55.0102424621582
2017-02-03,18.794721603393555,75.89130401611328,130.0272216796875,197.50328063964844,109.49317169189453,67.89532470703125,30.908519744873047,61.72737121582031,100.88821411132812,34.07603073120117,78.51053619384766,47.9849967956543,74.12012481689453,80.53219604492188,18.936538696289062,55.069576263427734
2017-02-06,18.657533645629883,75.49706268310547,130.02029418945312,196.7082061767578,108.31078338623047,67.57601928710938,30.923404693603516,61.15467071533203,100.89765167236328,34.22941207885742,78.10719299316406,47.73659896850586,73.50332641601562,80.29830932617188,18.908063888549805,54.917964935302734
2017-02-07,18.479995727539062,74.4345703125,129.8959503173828,196.41305541992188,108.43778991699219,67.53709411621094,31.17638397216797,60.84302520751953,100.9071273803711,34.413475036621094,78.8840103149414,47.84951400756836,73.24689483642578,80.25151824951172,19.047595977783203,54.56199264526367
2017-02-08,18.294391632080078,74.5615234375,129.85452270507812,194.86387634277344,109.41383361816406,66.94522094726562,31.265661239624023,61.01987838745117,101.02072143554688,33.67721176147461,78.94377899169922,48.75275421142578,73.57264709472656,79.60600280761719,19.3095760345459,54.2027702331543
2017-02-09,18.657533645629883,75.01593017578125,130.27589416503906,197.99508666992188,110.0724868774414,67.9109115600586,30.69272804260254,61.92949676513672,101.56977081298828,34.398136138916016,79.15290832519531,49.9871826171875,73.7805404663086,80.06441497802734,19.671220779418945,54.44225311279297
2017-02-10,18.6252498626709,75.54383850097656,131.85800170898438,198.95408630371094,110.97711944580078,67.75513458251953,30.1942138671875,62.30009841918945,101.5413818359375,34.28310775756836,79.25000762939453,49.47535705566406,74.39041137695312,80.36380004882812,19.369375228881836,54.89460372924805
