symbol_y,symbol_x,observations,return_correlation,absolute_return_correlation,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,alpha,beta,regression_r_squared,half_life,stationarity_score,eligible,use_log_prices
CVX,WMT,1510,0.22334330733767116,0.22334330733767116,-3.0292833877564744,0.10340785284836718,-3.028223509799177,0.0323414284719055,2.3999913522747276,0.603827450262399,0.6710631617870135,57.35299584913085,2.6990305886457424,False,True
HD,V,1510,0.5032586116187265,0.5032586116187265,-2.883370780404693,0.14059294654904164,-2.8824901398845517,0.04742237307678233,0.9080196834145147,0.8525328011918877,0.9468564842328887,65.94690670498322,2.6793117957997814,False,True
MA,UPS,1510,0.43993873246409243,0.43993873246409243,-2.8531128841484366,0.14936899013996285,-2.851873856661514,0.0512374675836404,-8.900278983830265,3.177673869794561,0.6766768420092075,76.71619883407803,2.5560906310951426,False,True
MA,V,1510,0.8539988656300332,0.8539988656300332,-2.607938708384813,0.23364333810378873,-2.608413035817992,0.09127090086515693,-0.18309079032712905,1.1130975680058726,0.9788728722120332,79.04050056137432,2.525113126036305,False,True
LOW,MA,1510,0.40901643508588015,0.40901643508588015,-2.840384538585247,0.1531729013868675,-2.839666882248697,0.052827218388083665,1.4869790671271867,0.5620502332983263,0.827100736653249,80.43202819575544,2.5009767527285724,False,True
BAC,UPS,1510,0.43880598080810346,0.43880598080810346,-2.8206747297492956,0.15919503000830137,-2.819655226068735,0.05552054563102018,-7.144033691334101,2.3170111459803127,0.6887658664944305,69.93001288056892,2.4924227501389526,False,True
PEP,V,1510,0.37640799235207156,0.37640799235207156,-2.7550775422225473,0.18039710737503767,-2.7546518941352827,0.06504906425551478,2.510118683269382,0.41654789798097036,0.8821890579419083,62.31432634145885,2.306937369374669,False,True
HD,PEP,1510,0.3860542859436884,0.3860542859436884,-2.7433380751869776,0.18438006592690814,-2.741863992866638,0.06706987249261141,-3.4643381607630612,1.8716185524016042,0.8975628592390513,66.55913907752539,2.2938128393187034,False,True
KO,MA,1510,0.3038857046927155,0.3038857046927155,-2.78417692485299,0.17077120153052133,-2.783231939247802,0.06070917349317488,2.1379545917454648,0.282886148408523,0.8532890810500349,51.206763838393584,2.288216750263658,False,True
BAC,JPM,1510,0.8719190664166111,0.8719190664166111,-2.349043076879383,0.34935285958899676,-2.3483664478913036,0.1568427428886961,-1.1605869205689014,0.9665611676896051,0.9458424675488291,118.80237939783187,2.1331903352428596,False,True
