Date,price_y,price_x,target_position,spread_position,weight_y,weight_x,return_y,return_x,gross_pair_return,cash_return,gross_exposure,net_exposure,short_notional,turnover_y,turnover_x,turnover,transaction_cost,borrow_cost,strategy_return,portfolio,drawdown,spread,zscore,target_event
2019-01-16,71.55066680908203,130.26023864746094,1.0,1.0,0.8022105569956678,-0.1977894430043322,-0.005842641124811254,0.0,-0.004687028391060631,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,-0.004710229827282287,13348.064037797312,-0.018261606072991432,-0.13671970640825615,-1.2244447588555787,
2019-01-17,73.46134185791016,130.20335388183594,1.0,1.0,0.8022105569956678,-0.1977894430043322,0.026703804926463626,-0.0004367009166853508,0.02150844905503272,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,0.021485247618811064,13634.850498881133,0.0,-0.11025853057592339,-0.7402930395133919,
2019-01-18,74.95154571533203,131.36045837402344,1.0,1.0,0.8022105569956678,-0.1977894430043322,0.020285551825397485,0.008886902354586113,0.014515548362069126,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,0.014492346925847471,13832.451482592984,0.0,-0.09235742573127004,-0.3978088797050677,
2019-01-22,75.74825286865234,130.93365478515625,1.0,1.0,0.8022105569956678,-0.1977894430043322,0.010629629392117312,-0.0032491024631776666,0.009169839081763866,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,0.00914663764554221,13958.971904053806,0.0,-0.08098150528717563,-0.1661974355355818,
2019-01-23,74.44989013671875,129.94725036621094,1.0,1.0,0.8022105569956678,-0.1977894430043322,-0.01714049740770862,-0.007533620141925046,-0.01226021744094316,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,-0.012283418877164816,13787.508005061738,-0.012283418877164776,-0.09640611383404374,-0.4326549076198001,
2019-01-24,73.54986572265625,130.60171508789062,1.0,1.0,0.8022105569956678,-0.1977894430043322,-0.012088995865671581,0.005036387609859361,-0.010694064407026728,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,-0.010717265843248383,13639.743616455575,-0.022869040054842693,-0.10980740858553983,-0.6599036701097866,
2019-01-25,74.38346862792969,131.52169799804688,1.0,1.0,0.8022105569956678,-0.1977894430043322,0.01133384673218596,0.0070441870502016,0.007698865666852724,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,0.0076756642306310685,13744.437708647381,-0.015368910896949473,-0.10026800336326169,-0.4711462782681032,
2019-01-28,74.01463317871094,128.9798583984375,1.0,1.0,0.8022105569956678,-0.1977894430043322,-0.004958567488479004,-0.01932638977674328,-0.00015525931760667798,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,-0.00017846075382833322,13741.984865932951,-0.015544628903353508,-0.10042722981933738,-0.46069839181781597,
2019-01-29,74.73020935058594,128.0408477783203,1.0,1.0,0.8022105569956678,-0.1977894430043322,0.00966803645634795,-0.007280288812354319,0.009195765179807544,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,0.009172563743585889,13868.034098079113,-0.006514649259254046,-0.08900406842648345,-0.2348200821862007,
2019-01-30,74.64908599853516,130.5068817138672,1.0,1.0,0.8022105569956678,-0.1977894430043322,-0.001085549642584338,0.01925974388904672,-0.004680213399644672,0.0,1.0,0.6044211139913356,0.1977894430043322,0.0,0.0,0.0,0.0,2.3201436221655254e-05,-0.004703414835866328,13802.806980757909,-0.011187422997143925,-0.0947936543403265,-0.32902313892992024,
