zscore_lookback,entry_zscore,exit_zscore,stop_zscore,maximum_holding_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,trade_win_rate,profit_factor,total_turnover
40,1.5,0.5,4.0,60,-0.03049570715922323,-0.005154295278544052,0.10410849002388371,0.001914286354269006,0.002459193267495537,-0.2427052295368458,49,0.5714285714285714,0.963075608198546,99.0
40,2.0,0.0,3.5,40,-0.032561448209940114,-0.005508302519565245,0.10454884583675365,-0.0010278636826030467,-0.0012580613871924296,-0.1356300683210131,37,0.4864864864864865,0.9678675243745377,74.0
40,2.5,0.5,4.0,20,-0.02011366204937237,-0.003384576228668945,0.07403189480218454,-0.00925791889774371,-0.00797014914740117,-0.16278908800791503,23,0.5217391304347826,0.9745891160339645,46.0
60,2.5,0.0,3.5,20,-0.01960061747939157,-0.0032975286375248603,0.06918618148528688,-0.01364257540315991,-0.011703690149863877,-0.14771911562755902,23,0.34782608695652173,0.9788199356637409,46.0
40,1.5,0.5,4.0,40,-0.045711943817470235,-0.00777679383152885,0.10393427052952406,-0.023656384148113305,-0.030303655863256,-0.2443930676015983,49,0.5714285714285714,0.933456076006995,99.0
60,1.5,0.5,4.0,20,-0.03867809904161057,-0.006560222453883324,0.09327801158672026,-0.024318727055103014,-0.02629720566472215,-0.15080012901409423,45,0.5333333333333333,0.9596994147623686,90.0
60,1.5,0.5,3.5,20,-0.03985357534726186,-0.006763015181819543,0.0931108301918458,-0.026724370645542776,-0.02904166110333071,-0.14904087188319215,49,0.5102040816326531,0.9628474269236892,98.0
40,2.5,0.5,3.5,20,-0.028113104410051215,-0.004746766833543914,0.07401008261145825,-0.0277674252917593,-0.024251537177502485,-0.17824401778595955,28,0.5,0.9559358963178431,56.0
40,2.0,0.0,4.0,40,-0.049495905344570046,-0.008434360183244172,0.10445671671855594,-0.029333192793978148,-0.035853088286933336,-0.1456991908806513,32,0.5625,0.9355220828139171,64.0
60,2.5,0.5,3.5,20,-0.03610753258759647,-0.006117468178840069,0.06828728814721535,-0.05622652537430855,-0.04808943110596035,-0.15053240446680005,23,0.34782608695652173,0.9189388064115478,46.0
60,2.5,0.25,3.5,20,-0.041042468657769726,-0.00696833311707501,0.06892462790715372,-0.06749682621358304,-0.05760639201412661,-0.14771911562755835,23,0.34782608695652173,0.902147844668241,46.0
60,1.5,0.5,4.0,40,-0.07395229722843943,-0.012737725593929716,0.10027180253421934,-0.07814572388754061,-0.09156308740797131,-0.1334061946972256,35,0.5428571428571428,0.8622921829586943,70.0
60,1.5,0.5,3.5,40,-0.07407116678440706,-0.012758872045908531,0.10021030171330964,-0.07846889626119395,-0.09184723307583763,-0.13974432713925022,39,0.48717948717948717,0.865196690652021,78.0
40,1.5,0.0,3.5,60,-0.11915764905038229,-0.020947735690668212,0.11968218845825142,-0.11747414768682256,-0.15463659789771322,-0.20862126882702647,45,0.4888888888888889,0.8161470526518799,91.0
40,2.0,0.25,3.5,60,-0.09638609785601149,-0.016769280679982956,0.09917754859924471,-0.12129566799135187,-0.1390695038715558,-0.18148530428451692,36,0.5,0.7924045786315033,72.0
40,1.5,0.0,4.0,40,-0.12363249455463066,-0.02177940593708816,0.11931821281452812,-0.12531857599934448,-0.16114020868791581,-0.22874157764433456,43,0.5813953488372093,0.8376053616928871,87.0
40,1.5,0.0,4.0,60,-0.13297001635476446,-0.023526283881570076,0.12036208868202135,-0.13803566344537982,-0.18033336957666127,-0.22159918212356788,39,0.5641025641025641,0.7946794388237557,79.0
40,1.5,0.25,3.5,20,-0.11241546101967981,-0.01970129248214747,0.10419497499607366,-0.1392220571812921,-0.16012920313309656,-0.28029076361193894,63,0.5238095238095238,0.8776217201987865,127.0
40,1.5,0.5,3.5,20,-0.10636292429313365,-0.018589047908960765,0.0978424811527933,-0.14336884125354707,-0.17217229341472895,-0.2800625437904517,63,0.5555555555555556,0.8701268277455484,127.0
40,2.0,0.25,4.0,60,-0.10856870774549643,-0.018993664846853497,0.09939322449690957,-0.14360589981154157,-0.16488812014467596,-0.1931098149468249,31,0.4838709677419355,0.7551880231197671,62.0
20,2.0,0.0,3.5,60,-0.11768982812946382,-0.020675701210402964,0.10521595501579029,-0.14640821069642418,-0.1842426528055413,-0.2827261477744828,57,0.543859649122807,0.8474550246586523,114.0
20,2.0,0.0,4.0,60,-0.11768982812946382,-0.020675701210402964,0.10521595501579029,-0.14640821069642418,-0.1842426528055413,-0.2827261477744828,57,0.543859649122807,0.8474550246586523,114.0
20,2.0,0.0,3.5,40,-0.12892126537575732,-0.022766922089419772,0.1051574232732401,-0.16687848923305015,-0.20988598453528606,-0.2918567421125253,57,0.543859649122807,0.8326568884588971,114.0
20,2.0,0.0,4.0,40,-0.12892126537575732,-0.022766922089419772,0.1051574232732401,-0.16687848923305015,-0.20988598453528606,-0.2918567421125253,57,0.543859649122807,0.8326568884588971,114.0
40,1.5,0.0,3.5,40,-0.14850821824208038,-0.026468249009138023,0.11816049645523517,-0.16837377337617065,-0.21671129588171945,-0.23018336900422864,48,0.5,0.7870608285812682,97.0
40,1.5,0.5,4.0,20,-0.13039617501926337,-0.023043206995403742,0.09807773623666703,-0.18917371934886537,-0.227069720386872,-0.29207530647926383,58,0.5689655172413793,0.8249482859311577,117.0
40,1.5,0.25,4.0,20,-0.14114437921721945,-0.025068470726200665,0.10394425868457421,-0.19261577344649555,-0.21634816168569743,-0.2853794674194102,57,0.543859649122807,0.8338163994400144,115.0
40,1.5,0.0,3.5,20,-0.14574821432530116,-0.02594242771129074,0.10526729607299298,-0.1974148568320215,-0.231064976941521,-0.2758686594093318,61,0.45901639344262296,0.8348756026115479,123.0
40,2.0,0.25,3.5,40,-0.144380259037154,-0.025682336560430508,0.09817193842679128,-0.21631246617648392,-0.24460406054275297,-0.19739783191013827,37,0.4864864864864865,0.715878657088469,74.0
40,1.5,0.25,3.5,60,-0.16947670508465906,-0.030510108213549825,0.11335291643560079,-0.21700340096293627,-0.2643135004626594,-0.2659681525076385,48,0.5208333333333334,0.7222105304761102,97.0
40,1.5,0.25,4.0,60,-0.18250002621794648,-0.03306347180576541,0.11406961037211479,-0.23803593235291945,-0.28778412277239585,-0.2780056274844255,42,0.5476190476190477,0.6978095418346825,85.0
40,2.0,0.25,4.0,40,-0.15620636772239782,-0.027942400309451942,0.09809580316215954,-0.24023129468835314,-0.2714326740475499,-0.20879635353643178,32,0.5,0.6863700256566418,64.0
20,2.0,0.0,3.5,20,-0.16185937618117474,-0.02903207077241876,0.10060743481018895,-0.24296037463716766,-0.28608694469779244,-0.2930484953448004,61,0.5245901639344263,0.7998023761726875,122.0
20,2.0,0.0,4.0,20,-0.16185937618117474,-0.02903207077241876,0.10060743481018895,-0.24296037463716766,-0.28608694469779244,-0.2930484953448004,61,0.5245901639344263,0.7998023761726875,122.0
40,1.5,0.0,4.0,20,-0.17339823366761997,-0.03127543546734535,0.1050178312318928,-0.25039931685718525,-0.28639846993869544,-0.280988629702426,55,0.4727272727272727,0.7916754420662651,111.0
40,1.5,0.25,4.0,40,-0.19453265601822456,-0.03545290014978408,0.11353621283392264,-0.2614904244194866,-0.3135202518485234,-0.30215461196427273,45,0.5777777777777777,0.714894096407378,91.0
40,2.0,0.5,4.0,20,-0.13924476541359165,-0.024708999657558683,0.08125687607179528,-0.2676724890459221,-0.259972514602777,-0.23326368832375055,38,0.5,0.7299615434051897,76.0
